"group"	"mouse"	"day"	"size"
"G3"	24	17	415
"G3"	26	17	1.4
"G3"	27	17	118.3
"G3"	29	17	372.6
"G3"	30	17	361
"G1"	8	18	NA
"G1"	9	18	573.4
"G1"	1	18	661.3
"G1"	3	18	397.1
"G1"	5	18	767.2
"G1"	4	18	726
"G1"	2	18	580
"G1"	6	18	529.1
"G1"	7	18	634.8
"G1"	10	18	529.2
"G2"	19	18	397
"G2"	20	18	415.2
"G2"	11	18	388.8
"G2"	13	18	573.3
"G2"	12	18	767.1
"G2"	14	18	551.4
"G2"	15	18	346.8
"G2"	16	18	551.3
"G2"	17	18	372.6
"G2"	18	18	500
"G3"	25	18	NA
"G3"	28	18	NA
"G3"	21	18	379
"G3"	22	18	687.7
"G3"	23	18	520
"G3"	24	18	440
"G3"	26	18	0
"G3"	27	18	230.4
"G3"	29	18	388
"G3"	30	18	556.6
"G1"	8	19	NA
"G1"	9	19	701.8
"G1"	1	19	634.8
"G1"	3	19	505.4
"G1"	5	19	820
"G1"	4	19	950.4
"G1"	2	19	415.2
"G1"	6	19	653.4
"G1"	7	19	714.3
"G1"	10	19	573.3
"G2"	19	19	NA
"G2"	20	19	NA
"G2"	11	19	629
"G2"	13	19	540
"G2"	12	19	677.6
"G2"	14	19	605
"G2"	15	19	551.3
"G2"	16	19	714.2
"G2"	17	19	487.4
"G2"	18	19	289
"G3"	25	19	NA
"G3"	28	19	NA
"G3"	21	19	433.2
"G3"	22	19	767.1
"G3"	23	19	796.6
"G3"	24	19	556.7
"G3"	26	19	0
"G3"	27	19	217.6
"G3"	29	19	451.3
"G3"	30	19	556.6
"G1"	8	20	NA
"G1"	9	20	NA
"G1"	1	20	NA
"G1"	3	20	541.5
"G1"	5	20	937.5
"G1"	4	20	661.5
"G1"	2	20	460
"G1"	6	20	687.7
"G1"	7	20	777.6
"G1"	10	20	560.1
"G2"	19	20	NA
"G2"	20	20	NA
"G2"	11	20	NA
"G2"	13	20	NA
"G2"	12	20	846.4
"G2"	14	20	480
"G2"	15	20	946.4
"G2"	16	20	772.6
"G2"	17	20	573.3
"G2"	18	20	560
"G3"	25	20	NA
"G3"	28	20	NA
"G3"	21	20	379
"G3"	22	20	806.4
"G3"	23	20	978.7
"G3"	24	20	812.5
"G3"	26	20	0
"G3"	27	20	243.2
"G3"	29	20	580
"G3"	30	20	268.8
"G1"	8	21	NA
"G1"	9	21	NA
"G1"	1	21	NA
"G1"	3	21	NA
"G1"	5	21	NA
"G1"	4	21	798.6
"G1"	2	21	520.1
"G1"	6	21	750.2
"G1"	7	21	912.6
"G1"	10	21	520
"G2"	19	21	NA
"G2"	20	21	NA
"G2"	11	21	NA
"G2"	13	21	NA
"G2"	12	21	634.9
"G2"	14	21	634.8
"G2"	15	21	440
"G2"	16	21	806.4
"G2"	17	21	683.6
"G2"	18	21	748.8
"G3"	25	21	NA
"G3"	28	21	NA
"G3"	21	21	500
"G3"	22	21	937.5
"G3"	23	21	864
"G3"	24	21	1014
"G3"	26	21	0
"G3"	27	21	217.6
"G3"	29	21	573.3
"G3"	30	21	346.8
